Sun Jun 12 17:06:18 2016, 1465743978.792,   539.823,   475.415,     8.956,    -0.027,  -331.704,    -0.242,    -3.528,  -114.625
Sun Jun 12 17:07:26 2016, 1465744046.193,   607.080,   542.674,     8.954,    -0.028,  -319.786,    -0.251,    -4.041,  -131.109
Sun Jun 12 17:08:33 2016, 1465744113.190,   674.667,   610.261,     8.965,    -0.028,  -320.179,    -0.251,    -4.558,  -147.828
Sun Jun 12 17:09:40 2016, 1465744180.951,   741.473,   677.048,     8.953,    -0.027,  -331.593,    -0.242,    -5.072,  -164.341
Sun Jun 12 17:10:47 2016, 1465744247.621,   808.271,   743.865,     8.955,    -0.027,  -331.667,    -0.242,    -5.579,  -180.662
Sun Jun 12 17:11:54 2016, 1465744314.592,   875.198,   810.792,     8.950,    -0.027,  -331.481,    -0.242,    -6.089,  -197.074
Sun Jun 12 17:13:01 2016, 1465744381.495,   942.285,   877.880,     8.947,    -0.025,  -357.880,    -0.224,    -6.590,  -213.206
Sun Jun 12 17:14:08 2016, 1465744448.564,  1009.151,   944.745,     8.930,    -0.026,  -343.462,    -0.232,    -7.079,  -228.924
Sun Jun 12 17:15:15 2016, 1465744515.610,  1076.175,  1011.762,     8.930,    -0.026,  -343.462,    -0.232,    -7.580,  -245.038
Sun Jun 12 17:16:22 2016, 1465744582.365,  1142.985,  1078.574,     8.940,    -0.025,  -357.600,    -0.224,    -8.074,  -260.937
Sun Jun 12 17:17:29 2016, 1465744649.142,  1210.128,  1145.707,     8.920,    -0.027,  -330.370,    -0.241,    -8.569,  -276.838
Sun Jun 12 17:18:36 2016, 1465744716.358,  1276.992,  1212.581,     8.937,    -0.026,  -343.731,    -0.232,    -9.065,  -292.804
Sun Jun 12 17:19:43 2016, 1465744783.271,  1344.115,  1279.684,     8.924,    -0.026,  -343.231,    -0.232,    -9.556,  -308.619
Sun Jun 12 17:20:50 2016, 1465744850.392,  1411.138,  1346.726,     8.935,    -0.026,  -343.654,    -0.232,   -10.040,  -324.207
Sun Jun 12 17:21:57 2016, 1465744917.302,  1477.942,  1413.530,     8.917,    -0.026,  -342.962,    -0.232,   -10.527,  -339.791
Sun Jun 12 17:23:04 2016, 1465744984.105,  1544.745,  1480.333,     8.917,    -0.025,  -356.680,    -0.223,   -11.010,  -355.339
Sun Jun 12 17:24:10 2016, 1465745050.857,  1611.628,  1547.216,     8.916,    -0.025,  -356.640,    -0.223,   -11.499,  -371.038
Sun Jun 12 17:25:17 2016, 1465745117.813,  1678.421,  1614.010,     8.921,    -0.026,  -343.115,    -0.232,   -11.987,  -386.743
Sun Jun 12 17:26:24 2016, 1465745184.593,  1747.314,  1682.906,     8.919,    -0.026,  -343.038,    -0.232,   -12.473,  -402.414
Sun Jun 12 17:27:33 2016, 1465745253.441,  1814.125,  1749.695,     8.932,    -0.026,  -343.538,    -0.232,   -12.964,  -418.139
Sun Jun 12 17:28:40 2016, 1465745320.327,  1881.000,  1816.589,     8.934,    -0.026,  -343.615,    -0.232,   -13.454,  -433.892
Sun Jun 12 17:29:47 2016, 1465745387.200,  1948.034,  1883.622,     8.933,    -0.026,  -343.577,    -0.232,   -13.937,  -449.451
Sun Jun 12 17:30:54 2016, 1465745454.158,  2014.826,  1950.416,     8.920,    -0.025,  -356.800,    -0.223,   -14.416,  -464.822
Sun Jun 12 17:32:02 2016, 1465745522.653,  2083.227,  2018.829,     8.931,    -0.026,  -343.500,    -0.232,   -14.913,  -480.803
Sun Jun 12 17:33:08 2016, 1465745588.462,  2149.077,  2084.689,     8.921,    -0.027,  -330.407,    -0.241,   -15.400,  -496.471
Sun Jun 12 17:34:14 2016, 1465745654.698,  2215.226,  2150.839,     8.936,    -0.027,  -330.963,    -0.241,   -15.893,  -512.320
Sun Jun 12 17:35:21 2016, 1465745721.037,  2281.755,  2217.356,     8.918,    -0.026,  -343.000,    -0.232,   -16.381,  -528.019
Sun Jun 12 17:36:27 2016, 1465745787.964,  2348.516,  2284.126,     8.941,    -0.025,  -357.640,    -0.224,   -16.880,  -544.051
Sun Jun 12 17:37:34 2016, 1465745854.842,  2416.687,  2352.069,     8.927,    -0.025,  -357.080,    -0.223,   -17.381,  -560.200
Sun Jun 12 17:38:43 2016, 1465745923.065,  2483.513,  2419.125,     8.918,    -0.026,  -343.000,    -0.232,   -17.875,  -576.036
Sun Jun 12 17:39:49 2016, 1465745989.889,  2550.511,  2486.122,     8.922,    -0.024,  -371.750,    -0.214,   -18.361,  -591.647
Sun Jun 12 17:40:56 2016, 1465746056.829,  2617.419,  2553.031,     8.935,    -0.025,  -357.400,    -0.223,   -18.831,  -606.781
Sun Jun 12 17:42:03 2016, 1465746123.811,  2684.426,  2620.037,     8.926,    -0.026,  -343.308,    -0.232,   -19.309,  -622.154
